,,,Number,Type,2012,2013,2014,2015
28003,Alcorn,MS,4,  Government and government enterprises,177260,173002,166914,167890
28005,Amite,MS,1,All Industries,151420,159812,167438,157383
28005,Amite,MS,2,  Private goods-producing industries,46445,63405,61998,54576
28005,Amite,MS,3,  Private services-providing industries,82781,73894,83009,80418
28005,Amite,MS,4,  Government and government enterprises,22193,22246,22283,22138
28007,Attala,MS,1,All Industries,442973,451432,475255,434591
28007,Attala,MS,2,  Private goods-producing industries,121309,113879,105035,97507
28007,Attala,MS,3,  Private services-providing industries,255127,271299,305499,278376
28007,Attala,MS,4,  Government and government enterprises,66536,66294,64888,58849
28009,Benton,MS,1,All Industries,272345,266033,238701,241649
28009,Benton,MS,2,  Private goods-producing industries,26112,(D),(D),(D)
28009,Benton,MS,3,  Private services-providing industries,225366,(D),(D),(D)
28009,Benton,MS,4,  Government and government enterprises,20868,23977,24200,23493
28011,Bolivar,MS,1,All Industries,1060446,1043292,1017786,978321
28011,Bolivar,MS,2,  Private goods-producing industries,328032,323927,310310,271432
28011,Bolivar,MS,3,  Private services-providing industries,581586,572108,567068,570351
28011,Bolivar,MS,4,  Government and government enterprises,150828,147267,140460,135446
28013,Calhoun,MS,1,All Industries,240747,258176,237759,238236
28013,Calhoun,MS,2,  Private goods-producing industries,83837,101012,87702,89359
28013,Calhoun,MS,3,  Private services-providing industries,113459,114075,107465,107044
28013,Calhoun,MS,4,  Government and government enterprises,43452,42891,42587,41822
28015,Carroll,MS,1,All Industries,96813,96237,93997,118608
28015,Carroll,MS,2,  Private goods-producing industries,41635,45831,39042,36432
28015,Carroll,MS,3,  Private services-providing industries,35877,31522,36576,64345
28015,Carroll,MS,4,  Government and government enterprises,19301,18826,18440,17886
28017,Chickasaw,MS,1,All Industries,388142,398706,387146,373549
28017,Chickasaw,MS,2,  Private goods-producing industries,200058,201643,195327,189484
28017,Chickasaw,MS,3,  Private services-providing industries,137988,148095,144188,138226
28017,Chickasaw,MS,4,  Government and government enterprises,50097,48982,47639,45866
28019,Choctaw,MS,1,All Industries,429562,376898,432816,518497
28019,Choctaw,MS,2,  Private goods-producing industries,91399,108575,110778,117293
28019,Choctaw,MS,3,  Private services-providing industries,313586,245806,295500,361487
28019,Choctaw,MS,4,  Government and government enterprises,24577,23434,26257,37208
28021,Claiborne,MS,1,All Industries,662435,708653,657736,644099
28021,Claiborne,MS,2,  Private goods-producing industries,137751,26335,30965,32386
28021,Claiborne,MS,3,  Private services-providing industries,435517,591499,534689,521520
28021,Claiborne,MS,4,  Government and government enterprises,89167,91297,92584,90697
28023,Clarke,MS,1,All Industries,264478,292484,277932,254327
28023,Clarke,MS,2,  Private goods-producing industries,102072,131290,112059,91188
28023,Clarke,MS,3,  Private services-providing industries,122923,121434,126026,123307
28023,Clarke,MS,4,  Government and government enterprises,39482,39728,39752,39311
28025,Clay,MS,1,All Industries,443754,522318,488290,467101
28025,Clay,MS,2,  Private goods-producing industries,159819,245009,197736,186850
28025,Clay,MS,3,  Private services-providing industries,232164,226439,239450,230060
28025,Clay,MS,4,  Government and government enterprises,51770,50805,50054,48897
28027,Coahoma,MS,1,All Industries,689157,686541,652908,632246
28027,Coahoma,MS,2,  Private goods-producing industries,134041,156634,132843,124827
28027,Coahoma,MS,3,  Private services-providing industries,444063,421362,413125,402328
28027,Coahoma,MS,4,  Government and government enterprises,111052,108431,106599,104504
28029,Copiah,MS,1,All Industries,559184,579723,575622,534566
28029,Copiah,MS,2,  Private goods-producing industries,247682,273150,270861,248164
28029,Copiah,MS,3,  Private services-providing industries,220641,217318,220022,203643
28029,Copiah,MS,4,  Government and government enterprises,90861,89260,84840,82712
28031,Covington,MS,1,All Industries,413806,478139,478851,491942
28031,Covington,MS,2,  Private goods-producing industries,149952,211176,206348,218851
28031,Covington,MS,3,  Private services-providing industries,192011,198090,203414,205745
28031,Covington,MS,4,  Government and government enterprises,71843,68952,69082,67858
28033,DeSoto,MS,1,All Industries,4300384,4333384,4327295,4770378
28033,DeSoto,MS,2,  Private goods-producing industries,677026,670183,631343,604059
28033,DeSoto,MS,3,  Private services-providing industries,3222406,3254416,3277424,3751866
28033,DeSoto,MS,4,  Government and government enterprises,400952,408815,419141,420641
28035,Forrest,MS,1,All Industries,3747747,3762541,3781537,3732557
28035,Forrest,MS,2,  Private goods-producing industries,497245,518330,529212,523726
28035,Forrest,MS,3,  Private services-providing industries,2451137,2450516,2464385,2413991
28035,Forrest,MS,4,  Government and government enterprises,799364,793751,788138,794323
28037,Franklin,MS,1,All Industries,144307,146143,143748,150394
28037,Franklin,MS,2,  Private goods-producing industries,23792,24679,22227,19855
28037,Franklin,MS,3,  Private services-providing industries,82302,82370,82669,92168
28037,Franklin,MS,4,  Government and government enterprises,38213,39080,38923,38660
28039,George,MS,1,All Industries,331066,345490,371820,354239
28039,George,MS,2,  Private goods-producing industries,61903,69858,86823,52180
28039,George,MS,3,  Private services-providing industries,183347,192247,200566,216234
28039,George,MS,4,  Government and government enterprises,85815,83399,84382,86571
28041,Greene,MS,1,All Industries,126643,129723,120374,115100
28041,Greene,MS,2,  Private goods-producing industries,34418,39716,33989,31678
28041,Greene,MS,3,  Private services-providing industries,37600,35431,34155,32873
28041,Greene,MS,4,  Government and government enterprises,54625,54518,52220,50521
28043,Grenada,MS,1,All Industries,814100,812927,777259,790914
28043,Grenada,MS,2,  Private goods-producing industries,290236,264842,233546,238787
28043,Grenada,MS,3,  Private services-providing industries,405125,430144,432056,435257
28043,Grenada,MS,4,  Government and government enterprises,118738,118250,112562,117650
28045,Hancock,MS,1,All Industries,1572773,1566974,1559501,1500538
28045,Hancock,MS,2,  Private goods-producing industries,274667,297943,258313,193490
28045,Hancock,MS,3,  Private services-providing industries,811622,803116,816802,817274
28045,Hancock,MS,4,  Government and government enterprises,486483,465896,484663,491077
28047,Harrison,MS,1,All Industries,8064937,8231292,8072020,7759580
28047,Harrison,MS,2,  Private goods-producing industries,876047,867019,826791,705454
28047,Harrison,MS,3,  Private services-providing industries,4848827,5086763,4973591,4851549
28047,Harrison,MS,4,  Government and government enterprises,2340063,2277558,2271706,2204400
28049,Hinds,MS,1,All Industries,12417207,12170126,12080685,12188441
28049,Hinds,MS,2,  Private goods-producing industries,1493316,1358750,1189368,1109051
28049,Hinds,MS,3,  Private services-providing industries,7885575,7746955,7823645,8020105
28049,Hinds,MS,4,  Government and government enterprises,3038317,3065266,3071383,3057839
28051,Holmes,MS,1,All Industries,258058,269337,246850,235879
28051,Holmes,MS,2,  Private goods-producing industries,71055,84627,70696,69261
28051,Holmes,MS,3,  Private services-providing industries,116438,118577,109993,103101
28051,Holmes,MS,4,  Government and government enterprises,70564,66065,66035,63461
28053,Humphreys,MS,1,All Industries,168998,187695,165710,157771
28053,Humphreys,MS,2,  Private goods-producing industries,60493,80880,64168,58045
28053,Humphreys,MS,3,  Private services-providing industries,83786,82923,78382,76176
28053,Humphreys,MS,4,  Government and government enterprises,24719,23902,22962,23070
28055,Issaquena,MS,1,All Industries,18525,23405,19585,17178
28055,Issaquena,MS,2,  Private goods-producing industries,8737,(D),(D),(D)
28055,Issaquena,MS,3,  Private services-providing industries,5572,(D),(D),(D)
28055,Issaquena,MS,4,  Government and government enterprises,4215,3728,3763,3471
28057,Itawamba,MS,1,All Industries,417648,418584,431729,417739
28057,Itawamba,MS,2,  Private goods-producing industries,189947,199828,205786,204905
28057,Itawamba,MS,3,  Private services-providing industries,153512,150890,160201,148841
28057,Itawamba,MS,4,  Government and government enterprises,74189,68059,66023,64281
28059,Jackson,MS,1,All Industries,6948748,5698543,6480346,6408538
28059,Jackson,MS,2,  Private goods-producing industries,3848207,2575806,3370932,3379767
28059,Jackson,MS,3,  Private services-providing industries,2315784,2336396,2363578,2307486
28059,Jackson,MS,4,  Government and government enterprises,784757,756317,751683,733142
28061,Jasper,MS,1,All Industries,398329,413141,350366,336863
28061,Jasper,MS,2,  Private goods-producing industries,185091,185394,154302,149962
28061,Jasper,MS,3,  Private services-providing industries,160953,176094,144833,137018
28061,Jasper,MS,4,  Government and government enterprises,52286,51709,51180,49772
28063,Jefferson,MS,1,All Industries,93027,102652,102496,97548
28063,Jefferson,MS,2,  Private goods-producing industries,9345,17751,(D),15873
28063,Jefferson,MS,3,  Private services-providing industries,51718,52786,(D),49762
28063,Jefferson,MS,4,  Government and government enterprises,31963,32091,32379,31876
28065,Jefferson Davis,MS,1,All Industries,129287,128183,121592,118443
28065,Jefferson Davis,MS,2,  Private goods-producing industries,37628,37603,33192,35258
28065,Jefferson Davis,MS,3,  Private services-providing industries,57545,57702,55483,51259
28065,Jefferson Davis,MS,4,  Government and government enterprises,34114,32883,32887,32022
28067,Jones,MS,1,All Industries,2492708,2482881,2480829,2543164
28067,Jones,MS,2,  Private goods-producing industries,1020730,1014167,1009593,1003115
28067,Jones,MS,3,  Private services-providing industries,1071494,1079105,1083695,1164050
28067,Jones,MS,4,  Government and government enterprises,400483,389700,387708,375697
28069,Kemper,MS,1,All Industries,284838,457578,415104,421023
28069,Kemper,MS,2,  Private goods-producing industries,169407,332458,254849,148705
28069,Kemper,MS,3,  Private services-providing industries,79787,88673,123802,235389
28069,Kemper,MS,4,  Government and government enterprises,35644,36367,36674,36344
28071,Lafayette,MS,1,All Industries,1651218,1716917,1742147,1923890
28071,Lafayette,MS,2,  Private goods-producing industries,165099,177130,166511,168720
28071,Lafayette,MS,3,  Private services-providing industries,984885,1036467,1065518,1241295
28071,Lafayette,MS,4,  Government and government enterprises,501234,503430,510525,516385
28073,Lamar,MS,1,All Industries,1415356,1441931,1425693,1483155
28073,Lamar,MS,2,  Private goods-producing industries,166214,151053,124324,138554
28073,Lamar,MS,3,  Private services-providing industries,1118014,1160741,1172901,1219160
28073,Lamar,MS,4,  Government and government enterprises,131128,130268,129162,126337
28075,Lauderdale,MS,1,All Industries,3040935,2946499,2784557,2767191
28075,Lauderdale,MS,2,  Private goods-producing industries,474544,330314,304830,311259
28075,Lauderdale,MS,3,  Private services-providing industries,2055720,2099276,1994627,1970301
28075,Lauderdale,MS,4,  Government and government enterprises,510671,513652,481887,482476
28077,Lawrence,MS,1,All Industries,295636,301621,288690,265690
28077,Lawrence,MS,2,  Private goods-producing industries,169945,178437,170894,158038
28077,Lawrence,MS,3,  Private services-providing industries,86719,84539,80541,71781
28077,Lawrence,MS,4,  Government and government enterprises,38972,38579,37188,35804
28079,Leake,MS,1,All Industries,379276,402451,408459,389448
28079,Leake,MS,2,  Private goods-producing industries,163211,191897,193052,181381
28079,Leake,MS,3,  Private services-providing industries,167726,164153,169247,162993
28079,Leake,MS,4,  Government and government enterprises,48338,46442,46182,44892
28081,Lee,MS,1,All Industries,4276149,4337307,4240798,4505719
28081,Lee,MS,2,  Private goods-producing industries,1120231,1153941,1088522,1208515
28081,Lee,MS,3,  Private services-providing industries,2815471,2847900,2818583,2971857
28081,Lee,MS,4,  Government and government enterprises,340447,335474,333819,325318
28083,Leflore,MS,1,All Industries,1169021,1170021,1115541,1098755
28083,Leflore,MS,2,  Private goods-producing industries,297740,323882,269023,254660
28083,Leflore,MS,3,  Private services-providing industries,615592,597723,598503,597404
28083,Leflore,MS,4,  Government and government enterprises,255689,248421,247616,245948
28085,Lincoln,MS,1,All Industries,912279,909383,821951,759058
28085,Lincoln,MS,2,  Private goods-producing industries,238709,235289,207368,192402
28085,Lincoln,MS,3,  Private services-providing industries,579985,581362,521711,472084
28085,Lincoln,MS,4,  Government and government enterprises,93585,92782,92885,94210
28087,Lowndes,MS,1,All Industries,2717664,2694640,2482152,2480976
28087,Lowndes,MS,2,  Private goods-producing industries,848112,863032,691991,652385
28087,Lowndes,MS,3,  Private services-providing industries,1421145,1395552,1346962,1386338
28087,Lowndes,MS,4,  Government and government enterprises,448408,436128,443278,442339
28089,Madison,MS,1,All Industries,5611611,6101720,6590484,6532585
28089,Madison,MS,2,  Private goods-producing industries,1222600,1467831,1525549,1506109
28089,Madison,MS,3,  Private services-providing industries,4104098,4347952,4777003,4737841
28089,Madison,MS,4,  Government and government enterprises,284914,285177,288869,289678
28091,Marion,MS,1,All Industries,580151,602894,582626,558634
28091,Marion,MS,2,  Private goods-producing industries,162940,179717,169676,153050
28091,Marion,MS,3,  Private services-providing industries,336965,344510,335704,329952
28091,Marion,MS,4,  Government and government enterprises,80246,78670,77233,75344
28093,Marshall,MS,1,All Industries,499416,535428,524835,502953
28093,Marshall,MS,2,  Private goods-producing industries,109249,115664,110137,111591
28093,Marshall,MS,3,  Private services-providing industries,313987,345124,339782,318910
28093,Marshall,MS,4,  Government and government enterprises,76181,74717,75030,72306
28095,Monroe,MS,1,All Industries,701669,706232,740807,712424
28095,Monroe,MS,2,  Private goods-producing industries,278048,289487,327354,307214
28095,Monroe,MS,3,  Private services-providing industries,330945,325631,324455,314868
28095,Monroe,MS,4,  Government and government enterprises,92677,91113,88960,90304
28097,Montgomery,MS,1,All Industries,177279,176500,175622,167762
28097,Montgomery,MS,2,  Private goods-producing industries,23106,26511,24288,24996
28097,Montgomery,MS,3,  Private services-providing industries,115502,111450,114740,110207
28097,Montgomery,MS,4,  Government and government enterprises,38671,38520,36619,32704
28099,Neshoba,MS,1,All Industries,946126,899909,832972,775959
28099,Neshoba,MS,2,  Private goods-producing industries,335651,323045,256677,201118
28099,Neshoba,MS,3,  Private services-providing industries,287305,267325,271188,268493
28099,Neshoba,MS,4,  Government and government enterprises,323170,309480,305428,305931
28101,Newton,MS,1,All Industries,394860,396624,400033,379260
28101,Newton,MS,2,  Private goods-producing industries,125477,124581,113896,112110
28101,Newton,MS,3,  Private services-providing industries,161488,165123,179883,164878
28101,Newton,MS,4,  Government and government enterprises,107895,106920,105791,102111
28103,Noxubee,MS,1,All Industries,194913,226198,216787,214040
28103,Noxubee,MS,2,  Private goods-producing industries,79957,116299,104264,104351
28103,Noxubee,MS,3,  Private services-providing industries,69912,65357,68826,66194
28103,Noxubee,MS,4,  Government and government enterprises,45043,44211,43501,43353
28105,Oktibbeha,MS,1,All Industries,1552695,1526216,1511641,1522844
28105,Oktibbeha,MS,2,  Private goods-producing industries,203440,200087,178624,166618
28105,Oktibbeha,MS,3,  Private services-providing industries,743235,724521,724055,741344
28105,Oktibbeha,MS,4,  Government and government enterprises,606020,601560,608038,613433
28107,Panola,MS,1,All Industries,1020374,949147,958582,983135
28107,Panola,MS,2,  Private goods-producing industries,263828,247079,225494,211171
28107,Panola,MS,3,  Private services-providing industries,626318,575163,607072,649469
28107,Panola,MS,4,  Government and government enterprises,130228,126863,125915,122580
28109,Pearl River,MS,1,All Industries,888765,801761,798544,789872
28109,Pearl River,MS,2,  Private goods-producing industries,305292,211544,221422,200213
28109,Pearl River,MS,3,  Private services-providing industries,395884,398782,390419,406720
28109,Pearl River,MS,4,  Government and government enterprises,187589,189044,184932,180059
28111,Perry,MS,1,All Industries,249732,246985,234431,229504
28111,Perry,MS,2,  Private goods-producing industries,114022,100412,93230,88114
28111,Perry,MS,3,  Private services-providing industries,107942,119933,115234,115733
28111,Perry,MS,4,  Government and government enterprises,27768,26916,26322,26146
28113,Pike,MS,1,All Industries,1087972,1102134,1059822,1036078
28113,Pike,MS,2,  Private goods-producing industries,218696,245446,225497,221262
28113,Pike,MS,3,  Private services-providing industries,641473,631028,616873,606214
28113,Pike,MS,4,  Government and government enterprises,227803,225515,217575,208848
28115,Pontotoc,MS,1,All Industries,721721,747858,780002,808595
28115,Pontotoc,MS,2,  Private goods-producing industries,363844,388859,407196,422126
28115,Pontotoc,MS,3,  Private services-providing industries,287398,288498,302071,316420
28115,Pontotoc,MS,4,  Government and government enterprises,70478,70594,70907,70291
28117,Prentiss,MS,1,All Industries,500563,490574,472629,481730
28117,Prentiss,MS,2,  Private goods-producing industries,180979,179930,165161,181480
28117,Prentiss,MS,3,  Private services-providing industries,232167,224043,221348,215436
28117,Prentiss,MS,4,  Government and government enterprises,87417,86576,86159,84561
28119,Quitman,MS,1,All Industries,94583,104746,92407,91038
28119,Quitman,MS,2,  Private goods-producing industries,27129,37040,29357,25882
28119,Quitman,MS,3,  Private services-providing industries,47582,48427,44192,42304
28119,Quitman,MS,4,  Government and government enterprises,19871,19303,18722,22206
28121,Rankin,MS,1,All Industries,6001408,6053474,6189631,6408086
28121,Rankin,MS,2,  Private goods-producing industries,1245070,1263537,1201188,1134797
28121,Rankin,MS,3,  Private services-providing industries,4158674,4204358,4407478,4705067
28121,Rankin,MS,4,  Government and government enterprises,597664,585751,582603,572749
28123,Scott,MS,1,All Industries,910339,966542,915710,894260
28123,Scott,MS,2,  Private goods-producing industries,580122,645948,588727,571098
28123,Scott,MS,3,  Private services-providing industries,247177,237704,244235,240027
28123,Scott,MS,4,  Government and government enterprises,83040,83006,82679,83011
28125,Sharkey,MS,1,All Industries,96049,120049,109020,104776
28125,Sharkey,MS,2,  Private goods-producing industries,25622,47817,36844,33050
28125,Sharkey,MS,3,  Private services-providing industries,48460,50412,50389,49634
28125,Sharkey,MS,4,  Government and government enterprises,21968,21811,21448,21324
28127,Simpson,MS,1,All Industries,489946,518138,488811,481668
28127,Simpson,MS,2,  Private goods-producing industries,88972,126378,105984,104186
28127,Simpson,MS,3,  Private services-providing industries,310792,305383,299427,294059
28127,Simpson,MS,4,  Government and government enterprises,90182,86293,83012,83009
28129,Smith,MS,1,All Industries,262983,332250,312579,307108
28129,Smith,MS,2,  Private goods-producing industries,152866,226421,203256,201740
28129,Smith,MS,3,  Private services-providing industries,76257,71626,76878,73778
28129,Smith,MS,4,  Government and government enterprises,33860,33622,32074,31330
28131,Stone,MS,1,All Industries,312455,320031,309432,298817
28131,Stone,MS,2,  Private goods-producing industries,90981,101846,91807,92248
28131,Stone,MS,3,  Private services-providing industries,155588,154166,153609,142767
28131,Stone,MS,4,  Government and government enterprises,65886,63770,64221,63759
28133,Sunflower,MS,1,All Industries,608642,632555,602247,594309
28133,Sunflower,MS,2,  Private goods-producing industries,98948,146280,117310,107702
28133,Sunflower,MS,3,  Private services-providing industries,313706,288485,289032,298531
28133,Sunflower,MS,4,  Government and government enterprises,195989,197556,195004,186554
28135,Tallahatchie,MS,1,All Industries,256689,262907,255909,251422
28135,Tallahatchie,MS,2,  Private goods-producing industries,47863,79720,64710,56461
28135,Tallahatchie,MS,3,  Private services-providing industries,158735,131885,138711,141065
28135,Tallahatchie,MS,4,  Government and government enterprises,50091,51115,51818,52052
28137,Tate,MS,1,All Industries,423571,434371,424478,403642
28137,Tate,MS,2,  Private goods-producing industries,93554,99309,79740,77264
28137,Tate,MS,3,  Private services-providing industries,234310,241133,251197,234986
28137,Tate,MS,4,  Government and government enterprises,95708,93992,93357,91170
28139,Tippah,MS,1,All Industries,442138,451011,442455,424450
28139,Tippah,MS,2,  Private goods-producing industries,149075,176038,160638,148025
28139,Tippah,MS,3,  Private services-providing industries,233130,213299,221512,216935
28139,Tippah,MS,4,  Government and government enterprises,59933,61637,60329,59509
28141,Tishomingo,MS,1,All Industries,397399,370028,351735,365929
28141,Tishomingo,MS,2,  Private goods-producing industries,187732,171530,153844,168738
28141,Tishomingo,MS,3,  Private services-providing industries,161304,147960,147243,148516
28141,Tishomingo,MS,4,  Government and government enterprises,48363,50496,50552,48586
28143,Tunica,MS,1,All Industries,818174,824288,849728,960040
28143,Tunica,MS,2,  Private goods-producing industries,102417,173080,294291,447241
28143,Tunica,MS,3,  Private services-providing industries,666367,602530,515668,495976
28143,Tunica,MS,4,  Government and government enterprises,49391,49447,48016,44041
28145,Union,MS,1,All Industries,763469,784875,829639,851049
28145,Union,MS,2,  Private goods-producing industries,355681,349069,384540,405146
28145,Union,MS,3,  Private services-providing industries,335908,364146,373223,375024
28145,Union,MS,4,  Government and government enterprises,71879,71658,71764,70389
28147,Walthall,MS,1,All Industries,209120,212000,202140,201240
28147,Walthall,MS,2,  Private goods-producing industries,74348,78993,67717,72681
28147,Walthall,MS,3,  Private services-providing industries,95710,95713,98656,95070
28147,Walthall,MS,4,  Government and government enterprises,39062,37216,36011,33814
28149,Warren,MS,1,All Industries,2190445,2072923,2044560,2075950
28149,Warren,MS,2,  Private goods-producing industries,516919,399618,444859,443540
28149,Warren,MS,3,  Private services-providing industries,1202920,1213285,1145334,1166562
28149,Warren,MS,4,  Government and government enterprises,470606,457424,453640,464601
28151,Washington,MS,1,All Industries,1543818,1574785,1474915,1464881
28151,Washington,MS,2,  Private goods-producing industries,243404,310478,282881,250748
28151,Washington,MS,3,  Private services-providing industries,1006234,976927,918201,948347
28151,Washington,MS,4,  Government and government enterprises,294180,287241,273585,264931
28153,Wayne,MS,1,All Industries,442298,480090,493637,441877
28153,Wayne,MS,2,  Private goods-producing industries,159479,221320,207543,185740
28153,Wayne,MS,3,  Private services-providing industries,214473,189128,215634,186306
28153,Wayne,MS,4,  Government and government enterprises,68345,68960,70175,69362
28155,Webster,MS,1,All Industries,142648,140771,132625,125052
28155,Webster,MS,2,  Private goods-producing industries,41843,41639,34629,31888
28155,Webster,MS,3,  Private services-providing industries,76943,75907,74700,70456
28155,Webster,MS,4,  Government and government enterprises,23863,23235,23117,22466
28157,Wilkinson,MS,1,All Industries,164101,178681,188604,197190
28157,Wilkinson,MS,2,  Private goods-producing industries,19222,22550,18996,19087
28157,Wilkinson,MS,3,  Private services-providing industries,112832,124930,140052,149146
28157,Wilkinson,MS,4,  Government and government enterprises,32047,31181,30033,29569
28159,Winston,MS,1,All Industries,405322,413351,397480,392365
28159,Winston,MS,2,  Private goods-producing industries,136829,146151,118877,121099
28159,Winston,MS,3,  Private services-providing industries,225094,223682,234474,229597
28159,Winston,MS,4,  Government and government enterprises,43399,43449,44462,42027
28161,Yalobusha,MS,1,All Industries,267195,245567,232077,235364
28161,Yalobusha,MS,2,  Private goods-producing industries,129054,116126,96911,107811
28161,Yalobusha,MS,3,  Private services-providing industries,91926,83972,84995,81054
28161,Yalobusha,MS,4,  Government and government enterprises,46215,45452,50159,46209
28163,Yazoo,MS,1,All Industries,562679,645236,635928,599494
28163,Yazoo,MS,2,  Private goods-producing industries,165769,240925,215469,166465
28163,Yazoo,MS,3,  Private services-providing industries,243937,251056,253786,254028
28163,Yazoo,MS,4,  Government and government enterprises,152973,153217,166429,177688
29001,Adair,MO,1,All Industries,632850,643353,650482,687767
29001,Adair,MO,2,  Private goods-producing industries,75920,77748,93856,108108
29001,Adair,MO,3,  Private services-providing industries,412484,421795,414782,440022
29001,Adair,MO,4,  Government and government enterprises,144446,143836,141827,139924
29003,Andrew,MO,1,All Industries,189143,209015,220478,222092
29003,Andrew,MO,2,  Private goods-producing industries,40357,44579,45954,40217
29003,Andrew,MO,3,  Private services-providing industries,109446,125580,136144,142927
29003,Andrew,MO,4,  Government and government enterprises,39339,38892,38461,38641
29005,Atchison,MO,1,All Industries,172357,170274,172158,154069
29005,Atchison,MO,2,  Private goods-producing industries,45688,58122,63882,44419
29005,Atchison,MO,3,  Private services-providing industries,105433,91689,88219,88098
29005,Atchison,MO,4,  Government and government enterprises,21236,20451,20299,19567
29007,Audrain,MO,1,All Industries,698358,701797,693572,686329
29007,Audrain,MO,2,  Private goods-producing industries,245207,241518,236694,222247
29007,Audrain,MO,3,  Private services-providing industries,309652,316345,319811,326333
29007,Audrain,MO,4,  Government and government enterprises,143499,143890,137100,137199
29009,Barry,MO,1,All Industries,1032047,1101662,1087737,1145574
29009,Barry,MO,2,  Private goods-producing industries,420256,455047,452976,513681
29009,Barry,MO,3,  Private services-providing industries,512645,548301,539593,546189
29009,Barry,MO,4,  Government and government enterprises,99146,98388,95305,87032
29011,Barton,MO,1,All Industries,251584,261875,275150,275868
29011,Barton,MO,2,  Private goods-producing industries,64139,71673,73553,64128
29011,Barton,MO,3,  Private services-providing industries,135241,137806,151289,162091
29011,Barton,MO,4,  Government and government enterprises,52204,52388,50374,49036
29013,Bates,MO,1,All Industries,265652,270902,273029,265735
29013,Bates,MO,2,  Private goods-producing industries,60050,65766,67626,54238
29013,Bates,MO,3,  Private services-providing industries,133133,135984,139321,145615
29013,Bates,MO,4,  Government and government enterprises,72469,69177,66194,65087
29015,Benton,MO,1,All Industries,252802,280986,267270,270354
29015,Benton,MO,2,  Private goods-producing industries,57074,60138,59049,54056
29015,Benton,MO,3,  Private services-providing industries,133894,160173,149573,156614
29015,Benton,MO,4,  Government and government enterprises,61834,60717,58695,59382
29017,Bollinger,MO,1,All Industries,122892,118279,129503,140312
29017,Bollinger,MO,2,  Private goods-producing industries,26852,29170,28605,25708
29017,Bollinger,MO,3,  Private services-providing industries,70695,63897,75753,90279
29017,Bollinger,MO,4,  Government and government enterprises,25345,25180,25187,24326
29019,Boone,MO,1,All Industries,7521903,7863998,7938556,8062708
29019,Boone,MO,2,  Private goods-producing industries,570117,614519,596745,648247
29019,Boone,MO,3,  Private services-providing industries,4661889,4909281,5043143,5125031
29019,Boone,MO,4,  Government and government enterprises,2289897,2340654,2301166,2292171
29021,Buchanan,MO,1,All Industries,4242477,4208137,4092667,4252033
29021,Buchanan,MO,2,  Private goods-producing industries,1546742,1563481,1470699,1665641
29021,Buchanan,MO,3,  Private services-providing industries,2263262,2208751,2181582,2154230
29021,Buchanan,MO,4,  Government and government enterprises,432472,435745,440483,428631
29023,Butler,MO,1,All Industries,1280773,1331979,1318099,1307142
29023,Butler,MO,2,  Private goods-producing industries,262067,271208,263517,235789
29023,Butler,MO,3,  Private services-providing industries,783671,823232,815286,830995
29023,Butler,MO,4,  Government and government enterprises,235036,237582,239314,240411
29025,Caldwell,MO,1,All Industries,108983,115810,115927,113688
29025,Caldwell,MO,2,  Private goods-producing industries,24378,29122,30095,(D)
29025,Caldwell,MO,3,  Private services-providing industries,53527,55617,55269,(D)
29025,Caldwell,MO,4,  Government and government enterprises,31078,31090,30608,30681
29027,Callaway,MO,1,All Industries,1456387,1410433,1427628,1489102
29027,Callaway,MO,2,  Private goods-producing industries,225066,246691,224987,216470
29027,Callaway,MO,3,  Private services-providing industries,1015549,944611,983609,1054852
29027,Callaway,MO,4,  Government and government enterprises,215771,219203,218422,216228
29029,Camden,MO,1,All Industries,1152673,1139558,1102857,1101176
29029,Camden,MO,2,  Private goods-producing industries,112504,115532,117732,119338
29029,Camden,MO,3,  Private services-providing industries,929145,912467,875973,873705
29029,Camden,MO,4,  Government and government enterprises,111024,111531,109011,107976
29031,Cape Girardeau,MO,1,All Industries,3276373,3337258,3342981,3410378
29031,Cape Girardeau,MO,2,  Private goods-producing industries,649683,613731,628041,670245
29031,Cape Girardeau,MO,3,  Private services-providing industries,2259777,2355263,2349578,2376786
29031,Cape Girardeau,MO,4,  Government and government enterprises,366913,368667,365690,363515
29033,Carroll,MO,1,All Industries,201057,216449,217349,199235
29033,Carroll,MO,2,  Private goods-producing industries,71314,82714,84602,65466
29033,Carroll,MO,3,  Private services-providing industries,97392,101854,101631,101501
29033,Carroll,MO,4,  Government and government enterprises,32352,31883,31148,31208
29035,Carter,MO,1,All Industries,93315,88599,83936,84342
29035,Carter,MO,2,  Private goods-producing industries,24536,24899,23729,21578
29035,Carter,MO,3,  Private services-providing industries,42720,39303,36299,38594
29035,Carter,MO,4,  Government and government enterprises,26058,24387,23898,24188
29037,Cass,MO,1,All Industries,1780770,1888021,1887851,1941982
29037,Cass,MO,2,  Private goods-producing industries,267509,300079,286081,296908
29037,Cass,MO,3,  Private services-providing industries,1187599,1267042,1291550,1337102
29037,Cass,MO,4,  Government and government enterprises,325662,321021,310820,308912
29039,Cedar,MO,1,All Industries,190144,193768,191647,200756
29039,Cedar,MO,2,  Private goods-producing industries,42962,44459,46254,47208
29039,Cedar,MO,3,  Private services-providing industries,99120,101188,99385,110317
29039,Cedar,MO,4,  Government and government enterprises,48062,48123,46025,43320
29041,Chariton,MO,1,All Industries,169002,182190,184283,175332
